web-scraper-order,web-scraper-start-url,author,title,date,content,rating,label
1580574633-4302,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,NIK SONI,I HAD SOME SOFTWARE ISSUES IN THIS MOBILE,Reviewed in India on 27 November 2019,I M NOT SATISFIED BY THIS PHONE .,2.0 out of 5 stars,quality
1580574812-4903,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vibha Srivastava,MindBlowing,Reviewed in India on 20 December 2019,EXCELLENT PRODUCT .,5.0 out of 5 stars,quality
1580574038-2222,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ajay prajapati,Damage mobile give,Reviewed in India on 2 December 2019,Damage mobile give,1.0 out of 5 stars,quality
1580573431-122,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mahesh Babu,Excellent mobile with low price,Reviewed in India on 9 November 2019,"Very good experience with low cost...  Mobile finishing also very good, camere quality also fine... Like this mobile",5.0 out of 5 stars,quality
1580573504-360,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Praveen kumar,Great and this price,Reviewed in India on 29 November 2019,"Reviewing exactly after month of use
Fingerprint is lighting fast and if placement could be differentiated from camera bump would have been better.
Camera is good but gives too much artificial colour during lighting conditions.
Slow motion video 120,240,960ps but 960 is limited to 10sec only.
Gaming this is best of all for this phone if ur gamer the best midrange to go on.games could played upto hdr at high frame rates.
Battery would come upto a day at moderate usage and 2 if light usage playing games at high setting drain battery. Could be optimised with updates make it good.
Ads which is present but could be turned of from bloatwares and etc.
Mui11 is pretty good which was updated a week ago.
Alexa work well but eats battery silently without usage.But Google voice is better.
Weight is around 200 but u don't feel though.
Gorilla glass protection is added plus for the phone both front and back.
Screen is something interesting totally different from other note series and about 6.53 inch.",5.0 out of 5 stars,quality
1580574079-2362,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Summit mittal,Alexa,Reviewed in India on 6 November 2019,Nice feature Alexa,5.0 out of 5 stars,quality
1580574346-3291,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Dr Nadeem akhtar,Awesome,Reviewed in India on 6 January 2020,Good product at the price,5.0 out of 5 stars,quality
1580573845-1552,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SANJIB KUMAR BISWAS,Don't think too much ...just go for it,Reviewed in India on 24 January 2020,"Excellent budget phone.

Looks like premium class.

Performance in terms of Battery life, call connectivity just awesome.

Camera features loaded.

Excellent picture quality with depth.

And ""Alexa"" ...loving it.",5.0 out of 5 stars,quality
1580574783-4805,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Saurabh Gurung,Best in the market.,Reviewed in India on 20 November 2019,The best budget smartphone in India at the moment. The processor has imparted super speed to the phone.,5.0 out of 5 stars,quality
1580573918-1813,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ankit,This mobile is the best for pubg no any hang on this device...value for money,Reviewed in India on 8 January 2020,"Most egregious phone. It's back displays is very smooth and full resolution. Battery life is very good and fingerprint sensor is non-stick and front,back speaker is boosted volume and back, front display is non scratches and so nice colour",5.0 out of 5 stars,quality
1580574648-4356,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ashish k.,Superb performance,Reviewed in India on 26 January 2020,Its just amazing mobile ever. In budget,5.0 out of 5 stars,quality
1580573444-161,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,nilesh nayee,Exlent phon i m so happy,Reviewed in India on 8 November 2019,"This is most beautiful phone in this price specially super clarity of camera 64 mp , im long time using of samsung phone , first time purchace of redmi phone with good experiance i bought this only 14250  with discount of amazon sale thanks to amazon but i m slitly disappointed for disply bcoz i m long time using of super amoled display & thair lcd display , amoled dosplay is much better than ips lcd didplay ...other wise exelent phone this price budget......",5.0 out of 5 stars,quality
1580574648-4354,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Harit yadav,Budget phone,Reviewed in India on 10 November 2019,"Best camera quality ever but while playing game it became hotter from back side.
Only one issue heat problem.",5.0 out of 5 stars,quality
1580574598-4187,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Soumya Parida,Everyone should buy.??????,Reviewed in India on 2 December 2019,"Excellent product.
But camera quality is not so impressive.",4.0 out of 5 stars,quality
1580574780-4792,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Redmi note 8,Reviewed in India on 15 January 2020,"Nice phone , at a great price",4.0 out of 5 stars,quality
1580573937-1884,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abhishek,Awesome,Reviewed in India on 9 November 2019,"Awesome phone using it. Worth for the price of 14300 which i cracked in the sale period.
The pros are the camera of the phone.",5.0 out of 5 stars,quality
1580573717-1102,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,rajendra kumar sahoo,Great phone for Gamers and photography,Reviewed in India on 28 January 2020,"Apart from the great pros the following are the main cons comparaing similar type of phone in this price point.
1. Too heavy and bulky especially when using the back case.
2. Very much slippery due to glass back and thick side.
3. Earphone Jack position on the  down may sometime feel inconvenient.",5.0 out of 5 stars,quality
1580574757-4716,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anurag shishodia,good phone,Reviewed in India on 27 January 2020,go for it,5.0 out of 5 stars,quality
1580574431-3598,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mohammad Ahad,Mid-range killer.,Reviewed in India on 10 November 2019,Amazing product with ultimate camera and top notch processor and Amazon delivery service is super fast.,5.0 out of 5 stars,quality
1580573428-115,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,akash,"Bomb phone, worthless, never buy anyone ,never instal this app",Reviewed in India on 15 November 2019,Very poor selfi cam . Not fast charging. Charge loosing in very fastly. It's a bomb phone . Heavy heavy heating . Never buy anyone. No return that mean it is a very bad phone . Very bad bad phn only outer beauty only . Never buy . They will did not accept our return ??????????and very bad Amazon customercare ..????????,1.0 out of 5 stars,quality
1580574163-2655,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amit Kumar Jha,Just ok type of phone,Reviewed in India on 17 December 2019,Gmail is crashing several times. I tried even after restarting the phone,3.0 out of 5 stars,quality
1580574230-2889,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vicky,Nice build quality,Reviewed in India on 9 January 2020,It's just amazing just used for 30mins it's performance is very nice and I will check this mobile deeply and post my full review for this phone redmi note 8 pro just osm,5.0 out of 5 stars,quality
1580574824-4945,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Good phone,Reviewed in India on 8 January 2020,Phone is amazing....,5.0 out of 5 stars,quality
1580574300-3135,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sejal,Just perfect worth for the price,Reviewed in India on 27 January 2020,It's just awesome mobile in this price range processor just performs so well and also looks are too stunning,5.0 out of 5 stars,quality
1580573761-1254,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Raghu,Not up to the mark,Reviewed in India on 23 January 2020,"Mobile freezes in between and won't work. Would neither be able to restart or switch when it the screen freezes. It happened frequently even though there's plenty of empty space and lwith less number of apps as well, and wasn't able to get the mobile exchanged when i have been to mi stores. They just performed some software changes.",3.0 out of 5 stars,quality
1580573966-1988,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bhuvaneswari,Super proudct with inbuilt alexa,Reviewed in India on 7 November 2019,"Superb mobile, can be recommended
Instead if buying alexa Echo dot we can buy this inbuilt alexa redmi mobile.",5.0 out of 5 stars,quality
1580574108-2469,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jyoti Ranjan Sahoo,.,Reviewed in India on 20 January 2020,The new colour electric blue is really nice. And yes the ram and processor is good for playing games.,5.0 out of 5 stars,quality
1580574388-3447,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,karan,Gyroscope is not good,Reviewed in India on 1 January 2020,They say it's a gaming device and it's gyroscope is not working properly it's moving on its own don't known what to do with this,3.0 out of 5 stars,quality
1580573720-1119,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Damaged goods,Reviewed in India on 2 December 2019,I received the product with a defect in the screen.  This is absolutely disappointing. I never thought Amazon would deliver damaged goods.,1.0 out of 5 stars,quality
1580574064-2318,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Keshav,Worst fingerprint sensor,Reviewed in India on 22 January 2020,"The worst part of pH is it accept any 1 finger ones after the owner fingerprint are saved

Any 1 can unlock u r devices if u keep fingerprint lock",2.0 out of 5 stars,quality
1580573561-558,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Santosh Kumar,Unmanageable touchscreen,Reviewed in India on 25 January 2020,"I bought this product with lots of expectation. I have been using Redmi Note 3 for last three years. Such a wonderful phone. However, due to lack of space and low time of battery I thought to go for a new phone and this Redmi Note 8 pro has come freshly so I blindly jumped to this. I ordered and got it on 31st December; a very fast delivery by Amazon. However, when I started operating the phone its sound and basic settings are just like Note 3 with very minor improvement. The most disappointing part is its touch of key boards. Most of the time the touch of the letter keys does not type what you intend to and also very often touch of space key does not create space between words. So is the shift of key pad from alphabet to numbers also does not respond quickly. There is also a problem such as when you are watching a video and suddenly you have to move to some other work on the phone then navigating keys do not appear on the screen and then you have to switch off the phone sometimes. It is non-satisfactory phone. I dont know whether it is due to I bought online or due to some software issue, it needs to be checked. But I am dissatisfied with this piece.",2.0 out of 5 stars,quality
1580574166-2666,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Usha Netam,Redmi Note 8 Pro Halo white,Reviewed in India on 19 November 2019,Rethink before purchase this phone. Return facility is not available for this product. I am disappointed with Redmi Note 8 pro.,1.0 out of 5 stars,quality
1580573937-1889,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,venkata durga,Phone is hanginh,Reviewed in India on 23 January 2020,Phone is getting banged when I'm using multiple pages...8gb ram is swam not at all looks like it..Poco F1 is better than this no hanging problem with foci f1,4.0 out of 5 stars,quality
1580574508-3871,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gurpreet Singh,Note 8 pro,Reviewed in India on 29 January 2020,Great phone and great specs,5.0 out of 5 stars,quality
1580574584-4132,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Neeraj,Superb Item,Reviewed in India on 21 January 2020,"This item is good.
 I like this.",4.0 out of 5 stars,quality
1580573769-1290,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Arpit,Third Class experience,Reviewed in India on 9 January 2020,"I received same on 25th December, Suddenly on 8th January it stop boot up. Stuck on REDMI logo. I try to return same but it show windows is closed on 06th January. They say you need to repair at service station. In service station they replied mobile needs to be open. Only 12 days old mobile i will need to open for repairing.",1.0 out of 5 stars,quality
1580574563-4064,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ZiddiAbhi,Ziddi Abhi,Reviewed in India on 13 December 2019,Awesome se bhi awesome foR thi range,5.0 out of 5 stars,quality
1580573732-1159,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Saurabh singh,Good,Reviewed in India on 22 November 2019,The 6 gb ram does help you the performance is great u get a fast charger inside .The speaker is good .I am a little dissapointed by the camera in the night (not upto my expectation ).At this price its a good option .Its been almost 2 months since i am using it and no problems till now .,5.0 out of 5 stars,quality
1580574719-4586,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tanmoy Biswas,Nycc camera and performance ????,Reviewed in India on 9 November 2019,"Killer performance g90t.
Killer camera better then realme xt
????????????",5.0 out of 5 stars,quality
1580573715-1098,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Dinesh Chander,Slow motion video is pathetic,Reviewed in India on 22 December 2019,"It's slow motion camera is pathetic remembers me VGA era when camera in mobiles were just launched. Its finger print sensor read in third attempt. Not a good phone. My bro is having Samsung M30S far better in battery lasts for 2 days, slow motion recording is good, Video recording is good.",1.0 out of 5 stars,quality
1580574134-2557,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hamza Anwar,Go for it.,Reviewed in India on 22 January 2020,"Best phone in Mid-Range
But little bit Bulky",5.0 out of 5 stars,quality
1580574815-4912,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amaresh,Voice calling problem,Reviewed in India on 23 November 2019,"Calling voice quality is not good even good network coverage

What can i do can i return it",3.0 out of 5 stars,quality
1580574002-2106,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Guru,Value for money,Reviewed in India on 6 December 2019,I have written this review after using it for more than one month. Battery capacity is too good it has been for full day in normal use. Camera quality is also good but in selfie mode the image are getting shadow.,5.0 out of 5 stars,quality
1580574478-3768,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,A good buy,Reviewed in India on 2 January 2020,Seems to be a good mobile with a nice camera and quick response finger print reader.,4.0 out of 5 stars,quality
1580574402-3499,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,syed n.,Good phone I have ever used,Reviewed in India on 29 December 2019,Good response by fingerprint/camera quality is good but needs  further improvement /what can I say about batter I have no words it is A+++++++++,5.0 out of 5 stars,quality
1580574713-4562,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Seller is not reliable,Reviewed in India on 21 January 2020,The phone is good but the Seller sold me a defective phone and refused to exchange it. I had to get a refund.,1.0 out of 5 stars,quality
1580574005-2111,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Best phone for gaming,Reviewed in India on 14 December 2019,"Battery performance is great, can play games for long with less drain, charging the battery is fast, playing pubg on this feels great, very very smooth with high graphic settings and no heating issues",5.0 out of 5 stars,quality
1580574411-3523,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anshul Gayakwad,A great SmartPhone....,Reviewed in India on 2 December 2019,"Overall phone is to good. This phone comes true on my expectations. Processor is damm good, as it give better experience.",5.0 out of 5 stars,quality
1580574377-3408,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shardul Parmar,Best mobile in a budget.,Reviewed in India on 27 December 2019,"What a mobile ...I just love it ,what a camera quality and there is a lot of functions like TV and ac remote and all.Go for it everyone...",5.0 out of 5 stars,quality
1580573972-2003,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rahul Wootla,Best budget phone under 20K,Reviewed in India on 5 December 2019,Wonderful phone for under 20K budget. The camera quality is very good and the night mode is so better compared to even iPhone 7 Plus. The battery life is excellent. Alexa integration is a excellent feature for this phone.,5.0 out of 5 stars,quality
1580573795-1378,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shubham pal,Brst phone in 20k range,Reviewed in India on 10 December 2019,"This is the best segment range in 20k
Performance is excellent and the Heating problem is not an big issue.
Almost all the phones will heat of continuing gaming but if u Give 5 minutes the phone temperature will will be normal .
No need to worry about this phone
And Dont take Mind in Negetive Rewiews",5.0 out of 5 stars,quality
1580573834-1519,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,soumava mukherjee,Redmi just fatafati.......,Reviewed in India on 25 January 2020,"Superb camera quality and processor is lightning fast. Battery some how week based on phone features. Call quality and sound system also more powerful. Love this phone.
But one negetive things about to connect with smart tv through wireless display is not up to mark like samsung/lenevo.",5.0 out of 5 stars,quality
1580573856-1599,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DEBOPRIYA,Best budget phone till date.,Reviewed in India on 3 December 2019,"Best budget phone till date.
• Camera has so many mode and every mode is perfect for mobile photography.
• Night mode/ low light mode is superb.
• portrait mode is better than redmi's other AI versions.
• battery performance is average.",5.0 out of 5 stars,quality
1580573862-1620,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,MD a.,All rounder go for it????,Reviewed in India on 23 December 2019,"Face reader is not well optimized but fingerprint reader works good.
For camera it's really good.
For gaming it provides you upto 60fps at smooth graphics.
Average 45-50 FPS.
Battery life is good.
It doesn't heat that much like the other people's says.",5.0 out of 5 stars,quality
1580574250-2960,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ravi Kumar Pal,Superb mobile.. ??,Reviewed in India on 26 January 2020,"Best in budget..
Best feature is Alexa
Cons - display finger print, super amoled display, camera disgine",5.0 out of 5 stars,quality
1580573618-759,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nilanshu raaz,Just go fot it,Reviewed in India on 26 November 2019,"Best smartphone under 20k. You'll never regret after purchasing this beast.
Pros-
1). Great Display (easily visible even in sunlight)
2). Battery life lasts approx 1.5 days at heavy use
3). Incredible camera (check samples I'm not a professional photographer)
4). Speakers are loud and clear
5). Gaming performance is really flashy (you can play games like PUBG at max settings without any lag and frame drops)
6). I've halo white addition and it looks so beautiful.
Cons-
1). Flashlight is not so bright even less brighter than Redmi Note 5 Pro.",5.0 out of 5 stars,quality
1580574459-3697,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Very nice phone,Reviewed in India on 10 November 2019,"Value for money..
Ultimate camera. Specially i like micro photo graphy
Battery is too good..",4.0 out of 5 stars,quality
1580573627-781,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amit Ahi,Good phone but sale is not required because MI sell at same price,Reviewed in India on 2 December 2019,"The phone speed is good but it reached 44 degree with good maps for 1.5 hours. With PUBG and other games phone reached 34 degree max.

Phone is available with sale at MI store habitats center indrapurum. This flash sale is fake. I could have bought other colours if I knew. Go to store and buy at same price. No difference.",3.0 out of 5 stars,quality
1580574375-3400,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Durga dd,Awesome mobile ever,Reviewed in India on 2 December 2019,my favourite ever??????after redmi note 3 and 5 finally I got this redmi note 8 pro. ????Really awesome??????again and again fall in love with redmi??,5.0 out of 5 stars,quality
1580574405-3504,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kaushik,Don't believe on people saying it's not good,Reviewed in India on 26 November 2019,Don't believe on people saying it's bad or heating .. best phone is the market . Camera is super . Not heating  JUST LOVED IT ..,5.0 out of 5 stars,quality
1580573887-1702,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shubham Garge,Wowsome Midranger,Reviewed in India on 23 December 2019,"Everything is excellent but 64 MP camerais just marketing tool.Camera Need Little improvement, Otherwise
Performance ????
Display ????
Battery and Charging ????
Alexa and Ir Sensor????
User interface
This device is wowsome ??????????",5.0 out of 5 stars,quality
1580574017-2155,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SV,Battery works only for half day,Reviewed in India on 30 January 2020,"Interface, speed, camera all good but battery works for only half day",4.0 out of 5 stars,quality
1580573890-1711,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Deepak Vaishnav,Glass gard missing.usb missing,Reviewed in India on 25 January 2020,Usb missing glass hard missing,4.0 out of 5 stars,quality
1580573655-882,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Poonam Prajapat,Good product in this price segment.,Reviewed in India on 28 January 2020,"This is really a good phone under Rs. 16,000/- I bought 6GB, 128GB variant. features are also good. It's available on a economic price according to its specifications as compared to other brands in market.
Negative point is Amazon Alexa doesn't support Hindi language.",5.0 out of 5 stars,quality
1580574346-3300,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,mahaveer meena,Very bad services,Reviewed in India on 12 December 2019,"Battery backup very poor & hitting issue
Charging indication continue on after remove chargar",1.0 out of 5 stars,quality
1580574093-2420,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,vignesh,Messages problem,Reviewed in India on 27 December 2019,SMS NOT RECEIVED I CAN SEND MESSAGES BUT I'M NOT RECEIVED MESSAGES ITS BIG PROBLEM PLEASE FIX THE PROBLEM,2.0 out of 5 stars,quality
1580573709-1072,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Good and bad,Reviewed in India on 8 November 2019,"It's really good
Front camera works very nice even in low day light inside home.. Size is good.. Performance best
Value for money... 1 I feel the lowest part is device is heavy and thick in weight and in hand.. Others I love and I'm satisfied..",4.0 out of 5 stars,quality
